DIR,WIDTH,PREFIX,AXI_SIG,Type
0,[EDF_MST_IDW-1:0]  ,mst,awid,0
0,[EDF_MST_AW-1:0]   ,mst,awaddr,0
0,[EDF_MST_LW-1:0]   ,mst,awlen,0
0,[2:0]              ,mst,awsize,0
0,[1:0]              ,mst,awburst,0
0,                   ,mst,awlock,0
0,[3:0]              ,mst,awcache,0
0,[2:0]              ,mst,awprot,0
0,                   ,mst,awvalid,0
1,                   ,mst,awready,0
0,[EDF_MST_AWUW-1:0] ,mst,awuser,0
0,[3:0]              ,mst,awqos,0
0,[EDF_MST_IDW-1:0]  ,mst,arid,0
0,[EDF_MST_AW-1:0]   ,mst,araddr,0
0,[EDF_MST_LW-1:0]   ,mst,arlen,0
0,[2:0]              ,mst,arsize,0
0,[1:0]              ,mst,arburst,0
0,                   ,mst,arlock,0
0,[3:0]              ,mst,arcache,0
0,[2:0]              ,mst,arprot,0
0,                   ,mst,arvalid,0
1,                   ,mst,arready,0
0,[EDF_MST_ARUW-1:0] ,mst,aruser,0
0,[3:0]              ,mst,arqos,0
0,[EDF_MST_DW-1:0]   ,mst,wdata,0
0,[EDF_MST_SW-1:0]   ,mst,wstrb,0
0,                   ,mst,wlast,0
0,                   ,mst,wvalid,0
1,                   ,mst,wready,0
0,[EDF_MST_WUW-1:0]  ,mst,wuser,0
1,[EDF_MST_IDW-1:0] ,mst,bid,0
1,[1:0]             ,mst,bresp,0
1,                   ,mst,bvalid,0
0,                   ,mst,bready,0
1,[EDF_MST_BUW-1:0] ,mst,buser,0
1,[EDF_MST_IDW-1:0] ,mst,rid,0
1,[EDF_MST_DW-1:0]  ,mst,rdata,0
1,[1:0]             ,mst,rresp,0
1,                   ,mst,rlast,0
1,                   ,mst,rvalid,0
0,                   ,mst,rready,0
1,[EDF_MST_RUW-1:0] ,mst,ruser,0
1,[EDF_MST_IDW-1:0]  ,slv,awid,0
1,[EDF_MST_AW-1:0]   ,slv,awaddr,0
1,[EDF_MST_LW-1:0]   ,slv,awlen,0
1,[2:0]              ,slv,awsize,0
1,[1:0]              ,slv,awburst,0
1,                   ,slv,awlock,0
1,[3:0]              ,slv,awcache,0
1,[2:0]              ,slv,awprot,0
1,                   ,slv,awvalid,0
0,                   ,slv,awready,0
1,[EDF_MST_AWUW-1:0] ,slv,awuser,0
1,[3:0]              ,slv,awqos,0
1,[EDF_MST_IDW-1:0]  ,slv,arid,0
1,[EDF_MST_AW-1:0]   ,slv,araddr,0
1,[EDF_MST_LW-1:0]   ,slv,arlen,0
1,[2:0]              ,slv,arsize,0
1,[1:0]              ,slv,arburst,0
1,                   ,slv,arlock,0
1,[3:0]              ,slv,arcache,0
1,[2:0]              ,slv,arprot,0
1,                   ,slv,arvalid,0
0,                   ,slv,arready,0
1,[EDF_MST_ARUW-1:0] ,slv,aruser,0
1,[3:0]              ,slv,arqos,0
1,[EDF_MST_DW-1:0]   ,slv,wdata,0
1,[EDF_MST_SW-1:0]   ,slv,wstrb,0
1,                   ,slv,wlast,0
1,                   ,slv,wvalid,0
0,                   ,slv,wready,0
1,[EDF_MST_WUW-1:0]  ,slv,wuser,0
0,[EDF_MST_IDW-1:0] ,slv,bid,0
0,[1:0]             ,slv,bresp,0
0,                   ,slv,bvalid,0
1,                   ,slv,bready,0
0,[EDF_MST_BUW-1:0] ,slv,buser,0
0,[EDF_MST_IDW-1:0] ,slv,rid,0
0,[EDF_MST_DW-1:0]  ,slv,rdata,0
0,[1:0]             ,slv,rresp,0
0,                   ,slv,rlast,0
0,                   ,slv,rvalid,0
1,                   ,slv,rready,0
0,[EDF_MST_RUW-1:0] ,slv,ruser,0
